np, Central_Obj, Time, Method, Outer, Inner, Res, Obj, Time
60,1543.8351,5.49033308, Proposed,62,11,1.17E-05,1556.120007,3.87198019
 , , , Penalty,102,18,1.32E-05,1552.154358,6.118636847
90,3579.181452,15.83424187, Proposed,98,12,1.01E-05,3584.292593,20.41366506
 , , , Penalty,136,18,9.62E-06,3583.769101,26.86236691
120,6474.773471,54.74060798, Proposed,79,12,8.77E-06,6494.297502,44.79827499
 , , , Penalty,113,17,1.75E-05,6488.26896,60.15503907
180,14867.41061,215.954443, Proposed,82,12,1.71E-05,14881.86778,171.860775
 , , , Penalty,121,18,1.69E-05,14880.67684,233.7549212
240,26747.83971,715.856514, Proposed,79,12,1.25E-05,26866.95721,423.494396
 , , , Penalty,111,17,2.02E-05,26821.82268,536.776005
300,5.28E+09,141.8132951, Proposed,80,12,1.61E-05,42202.04604,857.327688
 ,Restoration fail, , Penalty,115,18,2.94E-05,42183.52072,1107.732355
,42131.88514,1566.621,,,,,,